algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
2635,2367,8718,1073,6468,568,453,124,
6143,1976,13913,670,20687,1262,703,184,
9899,3148,20606,834,47733,2233,953,244,
15673,4665,28061,975,91727,3477,1203,304,
22875,6229,37529,1122,156798,4998,1453,364,
32202,8572,45663,1277,247067,6792,1703,424,
45055,10938,58841,1427,366663,8863,1953,484,
62579,13305,67905,1592,519707,11207,2203,544,
87490,16313,79906,1645,710328,13828,2453,604,
113177,19398,96105,1835,942647,16722,2703,664,
145106,22480,112641,1924,1220793,19893,2953,724,
177351,26208,128014,2193,1548887,23337,3203,784,
218649,30493,145352,2395,1931058,27058,3453,844,
264660,34357,160449,2349,2371427,31052,3703,904,
325269,38667,183658,2383,2874123,35323,3953,964,
376801,43543,201237,2659,3443267,39867,4203,1024,
443267,48066,223744,2707,4082988,44688,4453,1084,
518122,52257,241469,2831,4797407,49782,4703,1144,
609253,59974,264946,2992,5590653,55153,4953,1204,
